TimeStep,Probe1_Ez,Probe2_Ez
780,0.00491196,0.0305694
781,0.0132066,0.0259115
782,0.0206344,0.0220868
783,0.0255034,0.0195652
784,0.0267378,0.0185163
785,0.0241528,0.0189928
786,0.0183939,0.0210973
787,0.0106199,0.0250393
788,0.00211437,0.0310405
789,-0.00599584,0.0391206
790,-0.012838,0.0488784
791,-0.0177541,0.0594067
792,-0.0202411,0.0694197
793,-0.0199617,0.0775537
794,-0.0168332,0.0826907
795,-0.0111187,0.0841465
796,-0.00342814,0.0816585
797,0.00540291,0.075249
798,0.014504,0.0651208
799,0.0231259,0.0516986
800,0.0306853,0.0357882
801,0.0367048,0.0186997
802,0.0407337,0.00217239
803,0.0423481,-0.0119367
804,0.0412641,-0.0220689
805,0.0375021,-0.027271
806,0.0314855,-0.0272505
807,0.0239843,-0.0222163
808,0.0159135,-0.0126849
809,0.00808265,0.000568676
810,0.00102804,0.0163883
811,-0.00500541,0.0331005
812,-0.00995822,0.0485847
813,-0.013822,0.0606546
814,-0.0165669,0.0676307
815,-0.0181571,0.068823
816,-0.0186107,0.064667
817,-0.0180392,0.0564557
818,-0.0166349,0.0458479
819,-0.0146254,0.0344331
820,-0.0122418,0.0235357
821,-0.00972027,0.0142321
822,-0.00731468,0.00739128
823,-0.00527062,0.00357112
824,-0.00373502,0.00277035
825,-0.0026318,0.004223
826,-0.00157975,0.00646422
827,7.42994e-05,0.00775017
828,0.00308849,0.00668036
829,0.00808009,0.00271608
830,0.0153013,-0.00367284
831,0.0245295,-0.011294
832,0.0351115,-0.0187787
833,0.0461355,-0.0251029
834,0.0566616,-0.0298607
835,0.0659317,-0.0332395
836,0.073503,-0.0357979
837,0.0792828,-0.038196
838,0.0834712,-0.040976
839,0.086439,-0.0444161
840,0.0885765,-0.0484477
841,0.0901526,-0.0526444
842,0.0912171,-0.0563132
843,0.0915706,-0.0586977
844,0.0908084,-0.0592366
845,0.0884281,-0.0577725
846,0.083971,-0.0546137
847,0.0771585,-0.0504312
848,0.0679896,-0.0460544
849,0.0567803,-0.0422633
850,0.0441476,-0.0396274
851,0.0309575,-0.0383821
852,0.0182541,-0.0383159
853,0.00717397,-0.0386961
854,-0.00116775,-0.0383312
855,-0.00583274,-0.0358646
856,-0.0062475,-0.0302834
857,-0.00238114,-0.0214515
858,0.00515114,-0.010379
859,0.0151138,0.000984712
860,0.0258205,0.0104118
861,0.0354128,0.0162262
862,0.0421849,0.0179033
863,0.044887,0.0161538
864,0.0429616,0.0124882
865,0.0366763,0.0085198
866,0.0271211,0.00535967
867,0.0160362,0.00333676
868,0.0054616,0.00206045
869,-0.00273842,0.000678899
870,-0.00735023,-0.00182594
871,-0.0081223,-0.00636922
872,-0.00578582,-0.0134938
873,-0.00176767,-0.0230871
874,0.00229153,-0.0341719
875,0.00502218,-0.0449379
876,0.00563856,-0.0531365
877,0.00400595,-0.0567795
878,0.00050879,-0.0548778
879,-0.00416257,-0.0478786
880,-0.00920153,-0.0375749
881,-0.0138157,-0.0265172
882,-0.017329,-0.0171914
883,-0.0192997,-0.0113045
884,-0.0196539,-0.00941456
885,-0.0187727,-0.0109487
